M,N,K,best_runtime_us,best_tflops,avg_runtime_us,avg_tflops,valid
256,2560,7168,59.88,156.901,149.096,63.0146,1
512,2560,7168,60.521,310.479,61.4078,305.995,1
8192,2560,7168,148.72,2021.57,151.854,1979.84,1
256,36864,7168,84.241,1606,85.9467,1574.13,1
512,36864,7168,150.4,1799.09,153.463,1763.18,1
8192,36864,7168,1541.13,2809.2,1749.86,2474.09,1
256,7168,18432,162.32,416.743,178.851,378.224,1
512,7168,18432,162.68,831.642,164.582,822.03,1
8192,7168,18432,682.763,3170.45,690.585,3134.54,1
256,16384,2048,22.88,750.868,23.3661,735.247,1
512,16384,2048,25.84,1329.71,26.525,1295.37,1
8192,16384,2048,226.081,2431.68,227.942,2411.83,1
256,7168,16384,297.522,202.101,304.506,197.466,1
512,7168,16384,296.321,405.841,304.966,394.337,1
8192,7168,16384,1132.49,1699.05,1149.23,1674.29,1
256,10240,7168,70.64,532.007,71.6271,524.675,1
512,10240,7168,69.64,1079.29,70.7055,1063.03,1
8192,10240,7168,388.361,3096.58,394.648,3047.25,1
256,7168,5120,63.12,297.695,63.7263,294.862,1
512,7168,5120,64.44,583.193,65.3394,575.165,1
8192,7168,5120,333.401,1803.52,335.79,1790.69,1
